condition,bit_width,n_clusters,rotation_seed,norm_bits,effective_bits_per_channel,perplexity,perplexity_delta,perplexity_relative_delta,perplexity_seconds,retrieval_passed,retrieval_total,retrieval_accuracy,retrieval_seconds,downstream_seconds
b3_k1_seed11,3,1,11,16,3.125,4.697417666899305,0.24056985435567402,0.05397757887953891,0.2944699823856354,3,3,1.0,5.458614993840456,5.753084976226091
b3_k1_seed29,3,1,29,16,3.125,4.723724804828567,0.2668769922849359,0.05988021209380778,0.2923647165298462,3,3,1.0,5.458820849657059,5.751185566186905
b3_k1_seed47,3,1,47,16,3.125,4.676216254231156,0.219368441687525,0.04922053678165117,0.2922011837363243,3,3,1.0,5.458837777376175,5.751038961112499
b3_k2_seed11,3,2,11,16,3.25,4.766047560864695,0.30919974832106334,0.06937633083427985,0.313339002430439,3,3,1.0,5.515889026224613,5.829228028655052
b3_k2_seed29,3,2,29,16,3.25,4.749634555512229,0.2927867429685973,0.06569368201098547,0.3123564049601555,3,3,1.0,5.514979317784309,5.827335722744465
b3_k2_seed47,3,2,47,16,3.25,4.741457173937027,0.28460936139339577,0.06385889161222269,0.3121662363409996,3,3,1.0,5.514559797942638,5.826726034283638
b3_k4_seed11,3,4,11,16,3.5,4.680683548550166,0.22383573600653506,0.05022288070428571,0.37609944492578506,3,3,1.0,5.625808052718639,6.001907497644424
b3_k4_seed29,3,4,29,16,3.5,4.788610618928914,0.33176280638528244,0.07443889052068342,0.3739469312131405,3,3,1.0,5.624840322881937,5.9987872540950775
b3_k4_seed47,3,4,47,16,3.5,4.718319773015157,0.26147196047152566,0.05866746442084536,0.3701980784535408,3,3,1.0,5.625218756496906,5.995416834950447
