scheduler,seed,configured_steps,step,minibatch_mse,last_10_step_mean,ema_mse,learning_rate,gradient_norm,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
exponential,35,100,0,,,,0.005,,0.0,0.03910224884748459,0.0
exponential,35,100,10,0.0006897806306369603,0.0007487117312848568,0.0008380952743538016,0.0037056722455347394,5.880801836610772e-05,0.08266076445579529,0.03910224884748459,0.1631380021572113
exponential,35,100,20,0.0006361863925121725,0.0006584853865206242,0.000765127117757185,0.002746401358265295,4.8560101276962087e-05,0.16463933885097504,0.03910224884748459,0.24848419427871704
exponential,35,100,30,0.0006029127398505807,0.0006172807945404202,0.0007052857323946986,0.002035452657684523,4.426071609486826e-05,0.24666813015937805,0.03910224884748459,0.33458346128463745
exponential,35,100,40,0.0005797749035991728,0.0005899332987610251,0.0006586601853113394,0.0015085440841362914,4.097984128748067e-05,0.32862020283937454,0.03910224884748459,0.4199801981449127
exponential,35,100,50,0.000572274555452168,0.0005748811061494052,0.0006248801935456556,0.0011180339887498954,3.8455527828773484e-05,0.41056784242391586,0.03910224884748459,0.5053122639656067
exponential,35,100,60,0.0005513801006600261,0.0005596808798145503,0.0005985569527986954,0.0008286135043349973,3.7569348933175206e-05,0.49252722412347794,0.03910224884748459,0.5906316712498665
exponential,35,100,70,0.0005455842474475503,0.0005529899091925472,0.0005801194303156871,0.0006141140130578958,3.684108014567755e-05,0.5745438784360886,0.03910224884748459,0.676105409860611
exponential,35,100,80,0.0005417802603915334,0.0005453992052935064,0.0005660221333020002,0.00045514105075652057,3.457848652033135e-05,0.6565349027514458,0.03910224884748459,0.7615061700344086
exponential,35,100,90,0.0005397882778197527,0.0005419758148491382,0.0005563684589884073,0.00033732071191839116,3.459200888755731e-05,0.7384727597236633,0.03910224884748459,0.8468717485666275
exponential,35,100,100,0.000538836233317852,0.0005402762384619564,0.0005498974360493535,0.0002500000000000002,3.403786104172468e-05,0.8204694911837578,0.07713591307401657,0.9322750419378281
