scheduler,seed,configured_steps,step,calibration_mse,wikitext_validation_mse,original_scale_validation_mse,generalization_gap,orthogonality_max_abs,rotation_tensor_sha256,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
exponential,35,100,0,0.0009040029738258681,0.0009056957220110462,0.5371761130336381,1.6927481851780612e-06,3.151346472662908e-08,02bc7e7c99945c466e803b4c0c21031fb5c126b84e7d388c9f8bce208e4559e0,0.0,0.03910224884748459,0.0
exponential,35,100,100,0.0005368659925863994,0.0006247390563061117,0.373090188471906,8.787306371971226e-05,4.6841385215046216e-08,a39b2fbe064020d4e4343c6566c0cc62fdabb6126f0b3cf59eb83d0a2218dd44,0.8204694911837578,0.07713591307401657,0.9322750419378281
