condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
identity_b2_snone,identity,2,,wikitext,reconstruction,1024,0.0019171056671893894,1.056811405112967,0.24947119257309286,0.8703630439122207,0.00394523108843714,29,6,1024,,,,,,,
identity_b2_snone,identity,2,,wikitext,attention,128,,,,,,,,,8.552607972492543,2.452593577000522,2.537392718548329,1.5355977250728756,0.021216175972654128,2.4242100715637207,28
identity_b2_snone,identity,2,,wikitext,attention,256,,,,,,,,,9.533449904000248,2.6363227606283552,2.583252205793136,1.6375949187204242,0.019818604992337896,2.534858226776123,28
identity_b2_snone,identity,2,,wikitext,attention,512,,,,,,,,,11.189347369396664,2.8792009868497503,2.8995490467200877,1.7464215592481196,0.01872498105697673,2.659914493560791,28
identity_b2_snone,identity,2,,wikitext,attention,1024,,,,,,,,,12.483131959496475,3.0610301960096127,3.1132260986138274,1.817947402363643,0.017510493065060473,2.770603656768799,28
identity_b2_snone,identity,2,,tinystories,reconstruction,1024,0.0019882953085357258,1.1762120446946938,0.2592287402567536,0.86544568836689,0.003990886150859296,29,6,1024,,,,,,,
identity_b2_snone,identity,2,,tinystories,attention,128,,,,,,,,,8.01016439023868,2.3052610898202706,2.6959356979993387,1.3600231234449893,0.018461999420196662,2.22454833984375,28
identity_b2_snone,identity,2,,tinystories,attention,256,,,,,,,,,9.706306322075514,2.6000434676264974,2.946080288528293,1.5645075659267604,0.01797907652044728,2.5474720001220703,28
identity_b2_snone,identity,2,,tinystories,attention,512,,,,,,,,,11.199688247769897,2.838273873106081,3.143889669013305,1.6707100858911872,0.017344581253212255,2.722871780395508,28
identity_b2_snone,identity,2,,tinystories,attention,1024,,,,,,,,,13.146304209639386,3.1262242330574406,3.3730262542838023,1.7770684009883553,0.01703526469830763,2.8841381072998047,28
