condition_id,method,bit_width,seed,dataset,layer,head,normalized_key_mse,original_key_mse,original_key_relative_mse
identity_b2_snone,identity,2,,wikitext,0,0,0.0009646224498283118,0.3765553906559944,0.12437053123613208
identity_b2_snone,identity,2,,wikitext,0,1,0.0012226351536810398,0.3749087452888489,0.15361175082851206
identity_b2_snone,identity,2,,wikitext,0,2,0.0012448906491044909,0.3646012172102928,0.1565906769286363
identity_b2_snone,identity,2,,wikitext,0,3,0.0011988205078523606,0.22119857370853424,0.15398847290695789
identity_b2_snone,identity,2,,wikitext,0,4,0.0015722797252237797,0.28845852613449097,0.20172176625605154
identity_b2_snone,identity,2,,wikitext,0,5,0.0012123472115490586,0.2405337169766426,0.1523166803191018
identity_b2_snone,identity,2,,wikitext,0,6,0.0014460592065006495,0.5940922498703003,0.17831689177878382
identity_b2_snone,identity,2,,wikitext,0,7,0.0011226924252696335,0.23398004472255707,0.14153512059892837
identity_b2_snone,identity,2,,wikitext,1,0,0.0007917578041087836,0.41063792258501053,0.10132675533261275
identity_b2_snone,identity,2,,wikitext,1,1,0.0011099856346845627,0.6500352472066879,0.14209318776563853
identity_b2_snone,identity,2,,wikitext,1,2,0.0013865260989405215,0.707734003663063,0.1773499751782158
identity_b2_snone,identity,2,,wikitext,1,3,0.0009856540127657354,0.4782414212822914,0.12631391033348577
identity_b2_snone,identity,2,,wikitext,1,4,0.001047571626259014,0.7971025705337524,0.1338762920762693
identity_b2_snone,identity,2,,wikitext,1,5,0.0010700473503675312,0.6337045133113861,0.13683914424688168
identity_b2_snone,identity,2,,wikitext,1,6,0.001100178575143218,0.614600196480751,0.14037139715718822
identity_b2_snone,identity,2,,wikitext,1,7,0.0011438295478001237,0.49902621656656265,0.14657036305453827
identity_b2_snone,identity,2,,wikitext,2,0,0.0017913980409502983,1.0120991617441177,0.228746024272649
identity_b2_snone,identity,2,,wikitext,2,1,0.002564827969763428,1.418669581413269,0.32813367851440817
identity_b2_snone,identity,2,,wikitext,2,2,0.0018924403993878514,1.1090692281723022,0.23932236267432713
identity_b2_snone,identity,2,,wikitext,2,3,0.0018940191657748073,0.9477982223033905,0.24246999456946056
identity_b2_snone,identity,2,,wikitext,2,4,0.0014289065729826689,0.6151185184717178,0.1828475403777731
identity_b2_snone,identity,2,,wikitext,2,5,0.001431714917998761,0.6126143336296082,0.18388835893218913
identity_b2_snone,identity,2,,wikitext,2,6,0.002203051350079477,1.2458267509937286,0.2819562994337349
identity_b2_snone,identity,2,,wikitext,2,7,0.0022006649523973465,1.45009183883667,0.28157997258795664
identity_b2_snone,identity,2,,wikitext,3,0,0.0019348275091033429,0.895533874630928,0.2477586714540029
identity_b2_snone,identity,2,,wikitext,3,1,0.0016152731841430068,0.7994631081819534,0.2054286878426054
identity_b2_snone,identity,2,,wikitext,3,2,0.002296500781085342,1.4144014716148376,0.29434876184008035
identity_b2_snone,identity,2,,wikitext,3,3,0.0015757039654999971,0.8065652847290039,0.20064381066306572
identity_b2_snone,identity,2,,wikitext,3,4,0.00263624225044623,1.6667012572288513,0.3378832514852427
identity_b2_snone,identity,2,,wikitext,3,5,0.002162703312933445,0.7919009774923325,0.27597361188431724
identity_b2_snone,identity,2,,wikitext,3,6,0.0015271991433110088,0.6976903527975082,0.19549794046016106
identity_b2_snone,identity,2,,wikitext,3,7,0.0024486337206326425,1.4967003166675568,0.31306180526125604
identity_b2_snone,identity,2,,wikitext,4,0,0.001184232736704871,0.4530007690191269,0.1509808391536903
identity_b2_snone,identity,2,,wikitext,4,1,0.0020151190692558885,1.2222324907779694,0.25743874912162285
identity_b2_snone,identity,2,,wikitext,4,2,0.0022318565170280635,1.0929073691368103,0.2835757973738226
identity_b2_snone,identity,2,,wikitext,4,3,0.0022720388951711357,1.580620676279068,0.2906830734991592
identity_b2_snone,identity,2,,wikitext,4,4,0.001888459111796692,1.128047525882721,0.24171614852642595
identity_b2_snone,identity,2,,wikitext,4,5,0.0018244973325636238,0.7196931391954422,0.2316525247597524
identity_b2_snone,identity,2,,wikitext,4,6,0.002517652523238212,1.3675521910190582,0.32248879536574093
identity_b2_snone,identity,2,,wikitext,4,7,0.0017220636364072561,0.8836807012557983,0.2192272231445431
identity_b2_snone,identity,2,,wikitext,5,0,0.001875211630249396,1.0348975211381912,0.23914258961711468
identity_b2_snone,identity,2,,wikitext,5,1,0.0015447859186679125,0.834020584821701,0.19407293999166844
identity_b2_snone,identity,2,,wikitext,5,2,0.001383606024319306,0.6930448412895203,0.17806485033631872
identity_b2_snone,identity,2,,wikitext,5,3,0.0022829275112599134,1.3342552781105042,0.2920789114358153
identity_b2_snone,identity,2,,wikitext,5,4,0.0014103310240898281,0.6874791979789734,0.17955035583670234
identity_b2_snone,identity,2,,wikitext,5,5,0.0015602000057697296,0.677010178565979,0.19901415825734228
identity_b2_snone,identity,2,,wikitext,5,6,0.0023038803483359516,1.3052759170532227,0.2945855988646018
identity_b2_snone,identity,2,,wikitext,5,7,0.00222648773342371,1.3106758892536163,0.28454831409320486
identity_b2_snone,identity,2,,wikitext,6,0,0.001960269932169467,1.045248031616211,0.24995354087517846
identity_b2_snone,identity,2,,wikitext,6,1,0.002086247899569571,1.3087083399295807,0.2654063257861891
identity_b2_snone,identity,2,,wikitext,6,2,0.0021542098256759346,1.5036081671714783,0.274251829131257
identity_b2_snone,identity,2,,wikitext,6,3,0.0021639164187945426,1.209340900182724,0.2759120036823491
identity_b2_snone,identity,2,,wikitext,6,4,0.002143685647752136,1.3459043204784393,0.2735474449084924
identity_b2_snone,identity,2,,wikitext,6,5,0.0019023382337763906,1.1309601962566376,0.24334458450234028
identity_b2_snone,identity,2,,wikitext,6,6,0.0016821630124468356,0.7052876502275467,0.2142926174707159
identity_b2_snone,identity,2,,wikitext,6,7,0.0014559397532138973,0.9446492195129395,0.1861271995359675
identity_b2_snone,identity,2,,wikitext,7,0,0.0018968720687553287,1.2379758954048157,0.24266318458789682
identity_b2_snone,identity,2,,wikitext,7,1,0.002697095857001841,1.580037146806717,0.3424316830460459
identity_b2_snone,identity,2,,wikitext,7,2,0.002299783634953201,1.7224760353565216,0.29207800973125997
identity_b2_snone,identity,2,,wikitext,7,3,0.0022402906324714422,1.515912413597107,0.2839593412151412
identity_b2_snone,identity,2,,wikitext,7,4,0.002382642007432878,1.6811446845531464,0.3009973212503524
identity_b2_snone,identity,2,,wikitext,7,5,0.0018048401980195194,0.8210517466068268,0.22958237926525638
identity_b2_snone,identity,2,,wikitext,7,6,0.0014909457531757653,1.0205390751361847,0.188072145351441
identity_b2_snone,identity,2,,wikitext,7,7,0.0027696199249476194,1.8585755825042725,0.35200646590417717
identity_b2_snone,identity,2,,wikitext,8,0,0.0014905051793903112,0.8987659215927124,0.18960512369244015
identity_b2_snone,identity,2,,wikitext,8,1,0.002007773728109896,0.9675722867250443,0.2560339666925884
identity_b2_snone,identity,2,,wikitext,8,2,0.0016064637165982276,1.0957516729831696,0.2035917876493355
identity_b2_snone,identity,2,,wikitext,8,3,0.0022598489886149764,1.5012390315532684,0.28661131710554405
identity_b2_snone,identity,2,,wikitext,8,4,0.002020243729930371,1.0547912418842316,0.25887495136529504
identity_b2_snone,identity,2,,wikitext,8,5,0.002464854042045772,1.321705549955368,0.31480185626077306
identity_b2_snone,identity,2,,wikitext,8,6,0.001737139915348962,0.9659537225961685,0.22098901305392651
identity_b2_snone,identity,2,,wikitext,8,7,0.001443444867618382,0.9151430130004883,0.18254580090556013
identity_b2_snone,identity,2,,wikitext,9,0,0.0015878265257924795,0.9431082010269165,0.2016062031195942
identity_b2_snone,identity,2,,wikitext,9,1,0.0017454434710089117,0.540252648293972,0.22303875279206448
identity_b2_snone,identity,2,,wikitext,9,2,0.0022909590043127537,1.6111985743045807,0.29306587758081953
identity_b2_snone,identity,2,,wikitext,9,3,0.0017485367425251752,0.9047923237085342,0.21993738565858192
identity_b2_snone,identity,2,,wikitext,9,4,0.0019422100449446589,1.0302794426679611,0.2473343995358386
identity_b2_snone,identity,2,,wikitext,9,5,0.001778787118382752,0.8211980909109116,0.22510195002110522
identity_b2_snone,identity,2,,wikitext,9,6,0.0014792536676395684,0.8182801306247711,0.1885523451568436
identity_b2_snone,identity,2,,wikitext,9,7,0.0016537284245714545,0.9100283682346344,0.2101274972982857
identity_b2_snone,identity,2,,wikitext,10,0,0.0021149046369828284,1.3219164609909058,0.27023514712898283
identity_b2_snone,identity,2,,wikitext,10,1,0.002374929084908217,0.9812606573104858,0.30280648714411346
identity_b2_snone,identity,2,,wikitext,10,2,0.002150748681742698,1.0423722714185715,0.2737621818001368
identity_b2_snone,identity,2,,wikitext,10,3,0.00165531161474064,0.8385742604732513,0.21052889630728625
identity_b2_snone,identity,2,,wikitext,10,4,0.0015848131442908198,1.0023677945137024,0.2023590330407482
identity_b2_snone,identity,2,,wikitext,10,5,0.002332824282348156,1.5162518918514252,0.2932676799637507
identity_b2_snone,identity,2,,wikitext,10,6,0.001666173426201567,0.9645094722509384,0.21103187384188973
identity_b2_snone,identity,2,,wikitext,10,7,0.0016961403598543257,1.1802663803100586,0.21611236315288215
identity_b2_snone,identity,2,,wikitext,11,0,0.002089810383040458,0.9912997037172318,0.26902083109772734
identity_b2_snone,identity,2,,wikitext,11,1,0.0015453431697096676,0.9295479953289032,0.19677969273289758
identity_b2_snone,identity,2,,wikitext,11,2,0.002386235981248319,1.3810056149959564,0.30285343454316044
identity_b2_snone,identity,2,,wikitext,11,3,0.001754805853124708,0.8771423846483231,0.22116453455002824
identity_b2_snone,identity,2,,wikitext,11,4,0.0021852439967915416,1.2768800556659698,0.27873735298347896
identity_b2_snone,identity,2,,wikitext,11,5,0.0021790065802633762,0.9536641389131546,0.2763751603100997
identity_b2_snone,identity,2,,wikitext,11,6,0.0020123505091760308,1.1605208814144135,0.255349104940204
identity_b2_snone,identity,2,,wikitext,11,7,0.0015863266889937222,0.7048903703689575,0.20200550896878408
identity_b2_snone,identity,2,,wikitext,12,0,0.0021044541499577463,1.167366087436676,0.2680555269846318
identity_b2_snone,identity,2,,wikitext,12,1,0.0024191142292693257,1.430935949087143,0.3075589017090949
identity_b2_snone,identity,2,,wikitext,12,2,0.0025274200597777963,1.2877300083637238,0.3209355048788321
identity_b2_snone,identity,2,,wikitext,12,3,0.002000114298425615,0.9230225384235382,0.25303017790895316
identity_b2_snone,identity,2,,wikitext,12,4,0.0022548562847077847,1.5058071315288544,0.2869803558034795
identity_b2_snone,identity,2,,wikitext,12,5,0.0024580631288699806,1.4763522744178772,0.31300164576482825
identity_b2_snone,identity,2,,wikitext,12,6,0.0021881419233977795,1.4274006485939026,0.2773308373204495
identity_b2_snone,identity,2,,wikitext,12,7,0.0024194505531340837,1.4753336906433105,0.3083894465588775
identity_b2_snone,identity,2,,wikitext,13,0,0.001680581335676834,0.8986911326646805,0.2138301220054883
identity_b2_snone,identity,2,,wikitext,13,1,0.0017222255701199174,0.8910311460494995,0.21896029298833167
