scheduler,seed,configured_steps,step,minibatch_mse,last_10_step_mean,ema_mse,learning_rate,gradient_norm,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
exponential,35,10000,0,,,,0.005,,0.0,0.03924701362848282,0.0
exponential,35,10000,10,0.0006924436893314123,0.0007511067378800362,0.0008390910866724174,0.004985043752274521,5.88644907111302e-05,0.08287160098552704,0.03924701362848282,0.15303443372249603
exponential,35,10000,20,0.0006373330252245069,0.0006602195964660496,0.0007664068612719773,0.004970132242418248,4.9463604227639735e-05,0.16516545414924622,0.03924701362848282,0.2388630509376526
exponential,35,10000,30,0.0005982842994853854,0.0006153707741759718,0.0007051967098555232,0.004955265336609049,4.719809294329025e-05,0.24732262641191483,0.03924701362848282,0.3245265930891037
exponential,35,10000,40,0.0005706549272872508,0.0005829064175486565,0.0006556944886182207,0.004940442901425089,4.5387314457912e-05,0.3300875723361969,0.03924701362848282,0.4108244702219963
exponential,35,10000,50,0.0005567234475165606,0.000562194047961384,0.0006179226297116583,0.00492566480384363,4.357227953732945e-05,0.41231080889701843,0.03924701362848282,0.4965471476316452
exponential,35,10000,60,0.0005301946075633168,0.0005411680322140455,0.0005868324506950299,0.004910930911239842,4.3891341192647815e-05,0.4948485493659973,0.03924701362848282,0.5826734080910683
exponential,35,10000,70,0.0005188259528949857,0.0005284039012622088,0.0005631499836405689,0.0048962410913856004,4.3390729842940345e-05,0.5774806290864944,0.03924701362848282,0.6689666509628296
exponential,35,10000,80,0.0005085378652438521,0.0005150870943907649,0.0005436099726149766,0.004881595212448313,4.198428359813988e-05,0.6596058756113052,0.03924701362848282,0.7545771971344948
exponential,35,10000,90,0.0005014972412027419,0.0005063613643869758,0.0005285648566111525,0.004866993142989736,4.233025902067311e-05,0.7421543076634407,0.03924701362848282,0.8406374230980873
exponential,35,10000,100,0.0004959753714501858,0.0004997005918994546,0.00051689275570173,0.004852434751964784,4.156498107477091e-05,0.8241758495569229,0.07763472199440002,0.9261427819728851
exponential,35,10000,110,0.000487718905787915,0.0004906309477519244,0.0005062167927861622,0.004837919908720364,4.0755843656370416e-05,0.9068442434072495,0.07763472199440002,1.0956099703907967
