scheduler,seed,configured_steps,step,calibration_mse,wikitext_validation_mse,original_scale_validation_mse,generalization_gap,orthogonality_max_abs,rotation_tensor_sha256,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
exponential,35,10000,0,0.0009040029738258681,0.0009056957220110462,0.5371761130336381,1.6927481851780612e-06,3.151346472662908e-08,02bc7e7c99945c466e803b4c0c21031fb5c126b84e7d388c9f8bce208e4559e0,0.0,0.03924701362848282,0.0
exponential,35,10000,100,0.0004943894488249612,0.0005747098503636749,0.34304871886979527,8.032040153871378e-05,4.823024057909464e-08,47beb7276f2b59e7a3a0ccb4a3e751b1e60dc143b1620a17c1661a04688f0a4c,0.8241758495569229,0.07763472199440002,0.9261427819728851
exponential,35,10000,200,0.0004544252803295734,0.0005424673107565781,0.3236996442783493,8.804203042700465e-05,5.058662566614913e-08,47358ed3fa6f030eaef4f3164c156690e4e117f266bde8c105f1b6a0e591a9c0,1.6486998498439789,0.11586111038923264,1.8649593740701675
exponential,35,10000,300,0.0004381216473881011,0.0005314219228580441,0.31705607671938196,9.330027546994302e-05,5.219177834359101e-08,c1335bc8eb89d3d71499adae5907b7f1ba36329d14ec15496e45bb6421933efb,2.4721275940537453,0.1539582908153534,2.802297979593277
exponential,35,10000,400,0.00042758489788852216,0.0005254718669025493,0.3135569270534688,9.788696901402716e-05,5.260823887631716e-08,c9f15995cd3b69de3361db87dfa7727118013b19ff69c25fada2c6893897d0b5,3.2969333454966545,0.19223251193761826,3.741777740418911
exponential,35,10000,500,0.00042105451633744906,0.0005216675812746985,0.3113042130389658,0.00010061306493724942,5.49944543237757e-08,1a48f30d8d9ddadd7fd3f29c733621440de0804fef582ad5f76796d58ccbe081,4.122382640838623,0.23029422760009766,4.682130873203278
exponential,35,10000,600,0.0004161040445751496,0.0005196758156031933,0.3101047142608877,0.00010357177102804371,5.8360996813000554e-08,b71b18b4a8cd2113c16984adfa9546f2b987771d506bef58f2312b536b86b273,4.94636557996273,0.26842639595270157,5.620831534266472
exponential,35,10000,700,0.0004124979720874222,0.000517801225587533,0.309017457399932,0.00010530325350011083,5.493723032046205e-08,2abc0c183d0af63aa27de875c1f2d14a3486d1da133146072d6f2691355c640f,5.769735366106033,0.30688871443271637,6.558681048452854
exponential,35,10000,800,0.0004095489754512016,0.0005163793614464396,0.3081981555569655,0.00010683038599523798,5.3420864065678586e-08,c17337e93695b418be0737bf597fa5a9fec6b3b793f50a9b23254ee5bdcf5c6d,6.593503154814243,0.34537384659051895,7.497359700500965
exponential,35,10000,900,0.0004067110529870632,0.0005155209542380135,0.30768265144979523,0.00010880990125095025,5.3458280024898386e-08,83e9dfb93ceaeeae172c8494aee76a34a117e2866e871b6f177cd9a9f06953cb,7.41789223998785,0.38339442014694214,8.437166757881641
exponential,35,10000,1000,0.00040500308810109686,0.0005144363493272408,0.30703370078390435,0.00010943326122614394,6.172934630122029e-08,f506fb26b38f83d10c99380e168ba2b6b962db50a63d75737af0f05fd08e8d92,8.242621071636677,0.421538271009922,9.376962423324585
exponential,35,10000,1100,0.00040312100479411583,0.0005138871631302777,0.30671828401318635,0.00011076615833616188,5.701019223369741e-08,e66def20ace45189a6aa800cbcb8b7142730dfdf85c0f5e7deae621d2201d9bb,9.06651572138071,0.45974571257829666,10.37192751467228
exponential,35,10000,1200,0.0004014367986453493,0.0005134439652270117,0.3064471319767108,0.00011200716658166243,4.876795012265234e-08,f48de076a077cb3151ae9937e05b3b7a4c2deb275cb9d2007030d68ee146b9b0,9.89015344530344,0.49812201410532,11.317785896360874
exponential,35,10000,1300,0.0004002395410633852,0.000512936465359104,0.30613670746788557,0.00011269692429571876,5.38415969586481e-08,7a20d4377181211fe8352d66c8473ebc75a4b7d2ca8b2322511a7091ca02bc21,10.71297848969698,0.5360058918595314,12.25584339350462
exponential,35,10000,1400,0.0003988557369769552,0.0005119125673509473,0.30552589768012695,0.00011305683037399206,5.9377395666970756e-08,646089a6ce179928748320563a259e0692db061ca206f39171c29a3bbe8df803,11.534981571137905,0.5739924982190132,13.192063130438328
exponential,35,10000,1500,0.0003975631309387495,0.000511614133403171,0.3053416432157974,0.00011405100246442146,5.671916136762434e-08,53b4d4c63b13a128755e58778b86b132c0ef500ed0c14fa41dcad53fe6b8970c,12.356722474098206,0.6120428293943405,14.132080376148224
exponential,35,10000,1600,0.00039694349860575073,0.0005117044467120024,0.30541268755860074,0.0001147609481062517,5.0564954001686147e-08,ca4ef8285f4434456477c9bd7dd45fd2aebe3d4f64d91e32173c16506893389e,13.17903459072113,0.650299035012722,15.07278623431921
exponential,35,10000,1700,0.0003956802745648247,0.0005111543649487515,0.30507589443914185,0.00011547409038392686,5.482939302581258e-08,e0ececaa80f87cb243147db7f04861b3db98655a74b4f1a9041d4343cfd4e3ff,14.002102009952068,0.6882464662194252,16.0107511729002
exponential,35,10000,1800,0.00039491905236666014,0.0005108350848370691,0.3048957688451992,0.00011591603247040894,5.1194391170739095e-08,6788cda06ed9a4cd7b258bef7a79c99f1a9e497dc4724cdbff183dbb74c097da,14.825345173478127,0.7264106497168541,16.94845513254404
exponential,35,10000,1900,0.000393797425733311,0.0005104111061431382,0.30462312718691464,0.00011661368040982723,6.283931641704044e-08,97cc4955d64610a10c53fabe5fe5c7f1a27e20b589e8e660e73e0e07cf38679b,15.647115975618362,0.7645105570554733,17.884918347001076
exponential,35,10000,2000,0.00039331165410239066,0.0005104090434358,0.3046567161122766,0.0001170973893334093,5.50115281106045e-08,25efc4b718a99a4a3403524b6dc6912b4b8ba25bad8e2d73c3511bb0fa20ab1b,16.47124907374382,0.8024900704622269,18.823798961937428
exponential,35,10000,2100,0.00039249341557123785,0.0005099617552577485,0.3043708512232115,0.0001174683396865106,5.2463074329267556e-08,386b23686c7c5cdc79f48f1d797c2843c093df4af0f555201057de18e7d660b2,17.295098163187504,0.8405008837580681,19.821965850889683
exponential,35,10000,2200,0.00039190513315112696,0.0005099543410018725,0.30437205036560044,0.00011804920785074557,6.298349219946431e-08,e4092b95091add320cf61d7faf9095d9757bdf3f0f79dc40c4473882529e9939,18.119808040559292,0.8787396773695946,20.770187437534332
exponential,35,10000,2300,0.00039129865106879436,0.0005097322859786146,0.30421558623402234,0.00011843363490982028,6.015382059132435e-08,d244a8b8e3cdf7dc932281abdc6dbdff1a7657bc138d233d60e7df61341da9e1,18.944604858756065,0.9168143719434738,21.71127489209175
exponential,35,10000,2400,0.000390632225231613,0.0005093910590687756,0.3040487310950084,0.00011875883383716257,5.588180984616997e-08,d2140122fa9317f0d517bb6952fa01d3eb9a2fb9e902dfabeed66b5b695c12e7,19.768354080617428,0.9551421776413918,22.651371031999588
