scheduler,seed,configured_steps,step,minibatch_mse,last_10_step_mean,ema_mse,learning_rate,gradient_norm,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
cosine,35,10000,0,,,,0.005,,0.0,0.11873719096183777,0.0
cosine,35,10000,10,0.0006924244808033109,0.0007511253643315285,0.0008390983407229966,0.004999988279854414,5.896232323721051e-05,0.2168620601296425,0.11873719096183777,0.3769906163215637
cosine,35,10000,20,0.0006377390818670392,0.0006602306850254536,0.00076641106327187,0.004999953119533325,4.976110358256847e-05,0.2987930253148079,0.11873719096183777,0.4624025672674179
cosine,35,10000,30,0.0005989927449263632,0.0006155560375191271,0.0007052829169831716,0.004999894519383755,4.7206704039126635e-05,0.3807425945997238,0.11873719096183777,0.5477847531437874
cosine,35,10000,40,0.0005708125536330044,0.000583013758296147,0.0006557960240057871,0.004999812479984064,4.538724533631466e-05,0.4627835303544998,0.11873719096183777,0.6332703456282616
cosine,35,10000,50,0.0005572964437305927,0.0005625143938232213,0.0006181081967776895,0.004999707002143944,4.3712574552046135e-05,0.5447375848889351,0.11873719096183777,0.7186545804142952
cosine,35,10000,60,0.0005309915286488831,0.0005415115505456924,0.0005870860398853988,0.0049995780869044205,4.424846702022478e-05,0.6266911998391151,0.11873719096183777,0.8040865734219551
cosine,35,10000,70,0.0005197890568524599,0.0005288838932756334,0.0005635051643266563,0.004999425735537837,4.344399712863378e-05,0.7093876823782921,0.11873719096183777,0.8902315497398376
cosine,35,10000,80,0.0005091135972179472,0.0005157375708222389,0.0005440834506696336,0.004999249949547836,4.195680230623111e-05,0.7913517579436302,0.11873719096183777,0.9756772816181183
cosine,35,10000,90,0.0005027481820434332,0.0005070070677902549,0.0005291102903223904,0.004999050730669358,4.2703559302026406e-05,0.8732610195875168,0.11873719096183777,1.0609856098890305
cosine,35,10000,100,0.0004965753760188818,0.0005002828373108059,0.000517449216476238,0.004998828080868612,4.175194044364616e-05,0.9552178010344505,0.15690593421459198,1.1463736444711685
cosine,35,10000,110,0.0004888094263151288,0.0004915860132314265,0.0005069303128731683,0.0049985820023430595,4.097298005945049e-05,1.0373316705226898,0.15690593421459198,1.3570918217301369
cosine,35,10000,120,0.0004814934800378978,0.00048494811926502734,0.0004979826930217341,0.0049983124975213995,4.099331272300333e-05,1.1194824799895287,0.15690593421459198,1.4422878548502922
cosine,35,10000,130,0.0004767084610648453,0.0004792607127455994,0.0004903066879488126,0.004998019569063533,4.0652346797287464e-05,1.2014679685235023,0.15690593421459198,1.5272743329405785
cosine,35,10000,140,0.0004709410131908953,0.0004765703371958807,0.0004847159900606948,0.004997703219860547,4.110318695893511e-05,1.283380702137947,0.15690593421459198,1.6121481508016586
cosine,35,10000,150,0.0004708228225354105,0.0004715361486887559,0.0004793621414432023,0.00499736345303468,4.013192301499657e-05,1.3653596341609955,0.15690593421459198,1.6970827281475067
cosine,35,10000,160,0.0004658245015889406,0.0004679480363847688,0.00047471540080246127,0.004997000271939292,3.9839858800405636e-05,1.447222761809826,0.15690593421459198,1.7818793430924416
cosine,35,10000,170,0.0004599542007781565,0.00046422915474977346,0.00047047776889419697,0.004996613680158833,3.994330108980648e-05,1.529143400490284,0.15690593421459198,1.8667719885706902
cosine,35,10000,180,0.0004585460410453379,0.0004611397802364081,0.0004666441158488528,0.004996203681508815,3.955485226470046e-05,1.611122339963913,0.15690593421459198,1.9517372623085976
cosine,35,10000,190,0.00045376422349363565,0.0004587983916280791,0.00046335183849315856,0.004995770280035751,3.9531765651190653e-05,1.6930673867464066,0.15690593421459198,2.0366452634334564
cosine,35,10000,200,0.00045885605504736304,0.0004558319953503087,0.0004603700947056812,0.004995313480017143,3.893109897035174e-05,1.7757881209254265,0.19570517539978027,2.1223928034305573
cosine,35,10000,210,0.00045132957166060805,0.00045365595142357054,0.0004576336325413343,0.004994833285961421,3.905981793650426e-05,1.8580972850322723,0.19570517539978027,2.323676958680153
cosine,35,10000,220,0.0004503507516346872,0.0004521592287346721,0.0004553752413710056,0.0049943297026079055,3.95739043597132e-05,1.9401075020432472,0.19570517539978027,2.4087381213903427
cosine,35,10000,230,0.0004468192928470671,0.000449511525221169,0.00045297882514549575,0.004993802734926765,3.944033232983202e-05,2.0223903730511665,0.19570517539978027,2.4940225332975388
cosine,35,10000,240,0.00044508540304377675,0.00044914950849488376,0.00045137035681806575,0.004993252388118954,3.926176577806473e-05,2.104745589196682,0.19570517539978027,2.5793822407722473
cosine,35,10000,250,0.0004415879666339606,0.0004469008883461356,0.00044953956291223445,0.004992678667616176,3.911408566636965e-05,2.1864937767386436,0.19570517539978027,2.66408484429121
cosine,35,10000,260,0.0004497971385717392,0.0004454729292774573,0.0004479442552902068,0.004992081579080819,3.850167558994144e-05,2.268605776131153,0.19570517539978027,2.749286510050297
cosine,35,10000,270,0.00044608997995965183,0.0004445153899723664,0.00044661620851931325,0.004991461128405904,3.8747137296013534e-05,2.3505726531147957,0.19570517539978027,2.8342472314834595
cosine,35,10000,280,0.0004417514137458056,0.00044293440587352963,0.00044504373692918944,0.004990817321715032,3.9356211345875636e-05,2.432457134127617,0.19570517539978027,2.9191116467118263
cosine,35,10000,290,0.0004415685834828764,0.0004421764228027314,0.00044383167640757584,0.004990150165362312,3.940618262276985e-05,2.5144015327095985,0.19570517539978027,3.004075199365616
cosine,35,10000,300,0.00043770435149781406,0.0004421077494043857,0.00044313199253015326,0.004989459665932312,3.889874278684147e-05,2.596308559179306,0.2338765487074852,3.088939778506756
cosine,35,10000,310,0.00043729355093091726,0.00043811911600641904,0.000441138645706221,0.004988745830239979,3.854451279039495e-05,2.678584299981594,0.2338765487074852,3.2902391999959946
cosine,35,10000,320,0.00043699692469090223,0.000438306896830909,0.00043999422771502346,0.004988008665330587,3.865843245876022e-05,2.7611813843250275,0.2338765487074852,3.3758721128106117
cosine,35,10000,330,0.0004383522900752723,0.000437265814980492,0.00043888123011212127,0.004987248178479651,3.76786119886674e-05,2.8430921882390976,0.2338765487074852,3.460773855447769
cosine,35,10000,340,0.00043396546971052885,0.0004364904656540602,0.0004378678732507653,0.004986464377192873,3.82497746613808e-05,2.9249607250094414,0.2338765487074852,3.5456249564886093
cosine,35,10000,350,0.0004372381081338972,0.000436571630416438,0.00043739747712276704,0.004985657269206051,3.865404141834006e-05,3.0069063901901245,0.2338765487074852,3.6305701062083244
cosine,35,10000,360,0.0004305378533899784,0.0004325919144321233,0.00043546586890877084,0.004984826862485019,3.873599780490622e-05,3.0896011888980865,0.2338765487074852,3.7164878845214844
cosine,35,10000,370,0.0004280098364688456,0.0004311958851758391,0.0004336873136612003,0.004983973165225556,3.838424163404852e-05,3.1721199303865433,0.2338765487074852,3.802306480705738
cosine,35,10000,380,0.0004323297762311995,0.0004327896167524159,0.00043329596513770857,0.004983096185853309,3.7902940675849095e-05,3.2540686577558517,0.2338765487074852,3.8872820660471916
cosine,35,10000,390,0.0004325623740442097,0.0004332631651777774,0.00043325476180178804,0.004982195933023708,3.8584992580581456e-05,3.3365780115127563,0.2338765487074852,3.9727850407361984
cosine,35,10000,400,0.0004338670987635851,0.0004309106443542987,0.00043238407921846996,0.004981272415621887,3.7679190427297726e-05,3.4188611432909966,0.272050179541111,4.058035679161549
cosine,35,10000,410,0.0004305460606701672,0.00042944594169966874,0.0004311984668361309,0.00498032564276259,3.817607284872793e-05,3.5011026933789253,0.272050179541111,4.259509794414043
cosine,35,10000,420,0.0004286321927793324,0.00042929179617203774,0.00043042611291892126,0.004979355623790083,3.828649641945958e-05,3.5832564532756805,0.272050179541111,4.3446618765592575
cosine,35,10000,430,0.00042523586307652295,0.00042872761841863396,0.0004296489892818788,0.004978362368278058,3.7844722100999206e-05,3.6658736392855644,0.272050179541111,4.430314250290394
cosine,35,10000,440,0.00042734574526548386,0.0004273166065104306,0.0004286693422172676,0.00497734588602955,3.787539026234299e-05,3.7477251514792442,0.272050179541111,4.515137359499931
