condition_id,method,bit_width,seed,dataset,layer,head,normalized_key_mse,original_key_mse,original_key_relative_mse
identity_b2_snone,identity,2,,wikitext,0,0,0.0009571467817295343,0.3879702240228653,0.12338478368633585
identity_b2_snone,identity,2,,wikitext,0,1,0.0012176835734862834,0.3879678249359131,0.15248359974698436
identity_b2_snone,identity,2,,wikitext,0,2,0.001233683986356482,0.3776872903108597,0.1545941928246072
identity_b2_snone,identity,2,,wikitext,0,3,0.0012044213945046067,0.22904783859848976,0.15381935600042823
identity_b2_snone,identity,2,,wikitext,0,4,0.0015742281102575362,0.29822443425655365,0.2013292790440189
identity_b2_snone,identity,2,,wikitext,0,5,0.0012007708719465882,0.2503171004354954,0.1503438873867872
identity_b2_snone,identity,2,,wikitext,0,6,0.0014345064118970186,0.6147299855947495,0.1767571607852345
identity_b2_snone,identity,2,,wikitext,0,7,0.0011397050111554563,0.2455054670572281,0.1436470530178484
identity_b2_snone,identity,2,,wikitext,1,0,0.0007876454183133319,0.4305559992790222,0.10070204084318397
identity_b2_snone,identity,2,,wikitext,1,1,0.0011154373059980571,0.702388733625412,0.14235956370116848
identity_b2_snone,identity,2,,wikitext,1,2,0.0013779010623693466,0.7467324137687683,0.17629179874501077
identity_b2_snone,identity,2,,wikitext,1,3,0.0010093574528582394,0.5235578417778015,0.12928556219037382
identity_b2_snone,identity,2,,wikitext,1,4,0.0010532154701650143,0.8501614928245544,0.13458049645922068
identity_b2_snone,identity,2,,wikitext,1,5,0.0010826062643900514,0.6817040294408798,0.13852916027128861
identity_b2_snone,identity,2,,wikitext,1,6,0.0011044916464015841,0.6560070067644119,0.14098146838206269
identity_b2_snone,identity,2,,wikitext,1,7,0.0011532963835634291,0.5383521169424057,0.1477005761795213
identity_b2_snone,identity,2,,wikitext,2,0,0.0018266146362293512,1.1060957312583923,0.2333558944649082
identity_b2_snone,identity,2,,wikitext,2,1,0.002569106174632907,1.5622005760669708,0.3283663412208613
identity_b2_snone,identity,2,,wikitext,2,2,0.0019270324264653027,1.2120886445045471,0.24379852014203693
identity_b2_snone,identity,2,,wikitext,2,3,0.0019177320646122098,1.0207843780517578,0.24553706767528402
identity_b2_snone,identity,2,,wikitext,2,4,0.0014567752077709883,0.6723709553480148,0.18628142825717553
identity_b2_snone,identity,2,,wikitext,2,5,0.0014139077393338084,0.6256967335939407,0.1811903791663697
identity_b2_snone,identity,2,,wikitext,2,6,0.002221444097813219,1.333005428314209,0.2842604520510075
identity_b2_snone,identity,2,,wikitext,2,7,0.002219746122136712,1.5787171423435211,0.2839879484322542
identity_b2_snone,identity,2,,wikitext,3,0,0.0019794832332991064,0.9690000116825104,0.2532717211191052
identity_b2_snone,identity,2,,wikitext,3,1,0.0016354533145204186,0.8532145768404007,0.20806818672058183
identity_b2_snone,identity,2,,wikitext,3,2,0.0022773078526370227,1.4857005774974823,0.29172868330245705
identity_b2_snone,identity,2,,wikitext,3,3,0.0016378042055293918,0.8836969584226608,0.20818595053049102
identity_b2_snone,identity,2,,wikitext,3,4,0.0026210129726678133,1.7641330659389496,0.3357429159752951
identity_b2_snone,identity,2,,wikitext,3,5,0.0022001179750077426,0.8315639048814774,0.28101997706853427
identity_b2_snone,identity,2,,wikitext,3,6,0.001575841655721888,0.7527142465114594,0.20156858929994279
