scheduler,seed,configured_steps,step,calibration_mse,wikitext_validation_mse,original_scale_validation_mse,generalization_gap,orthogonality_max_abs,rotation_tensor_sha256,optimizer_elapsed_seconds,evaluation_elapsed_seconds,wall_elapsed_seconds
cosine,35,10000,0,0.0009040029738258681,0.0009056957220110462,0.5371761130336381,1.6927481851780612e-06,3.151346472662908e-08,02bc7e7c99945c466e803b4c0c21031fb5c126b84e7d388c9f8bce208e4559e0,0.0,0.11873719096183777,0.0
cosine,35,10000,100,0.000495242158020659,0.0005750169272999983,0.3433391825737999,7.977476927933935e-05,5.1497177300241503e-08,96c6f7b95a0cb5960cd25fa39309333a524713da9421d93d8db0f0285d371255,0.9552178010344505,0.15690593421459198,1.1463736444711685
cosine,35,10000,200,0.0004554757422869926,0.0005424323202571912,0.32378113313461654,8.695657797019862e-05,5.309580153323168e-08,98e89de40643f8bd3c8202c3dc9a84c0c659d9e62fe6c566375e4fe98f38fce5,1.7757881209254265,0.19570517539978027,2.1223928034305573
cosine,35,10000,300,0.0004399690493457342,0.0005315354811639139,0.3172147189725365,9.15664318181797e-05,5.162897109833864e-08,873b81c97a735a320eecdb538312ae78ca0e0d220f81562136981b182b23ad1c,2.596308559179306,0.2338765487074852,3.088939778506756
cosine,35,10000,400,0.00043018422184104566,0.0005257638502040862,0.3138325983345567,9.557962836304057e-05,4.811440024177216e-08,2d8f56c0476eaa2e3b780805c95bea2d017e771ba16806c25ae5119d6d372ca7,3.4188611432909966,0.272050179541111,4.058035679161549
cosine,35,10000,500,0.00042369351394810906,0.0005216329088835181,0.31133183642032236,9.793939493540904e-05,6.260510831967991e-08,4abcf83d2730aaf59fd430e33bd8c4bd609c341b551da1985c6f162a08c45bf3,4.2401483580470085,0.3101661950349808,5.025535404682159
cosine,35,10000,600,0.00041928600768237345,0.0005193519674282498,0.30998611278391763,0.0001000659597458764,5.23286285414315e-08,2ae8e956df47beab1b30e08d82774908f6aa79806b917b1ee4131d4e3bcc0cde,5.060463711619377,0.3482495918869972,5.99089402705431
cosine,35,10000,700,0.00041606188026754864,0.000518101954344985,0.30926029268266575,0.00010204007407743632,4.9208913832643475e-08,070ae280c81834af69b2b14e4ccf16ecd2cdc7cbf5568f66b21f7551350f05fa,5.8806425258517265,0.3863423690199852,6.956321202218533
cosine,35,10000,800,0.0004132802154437343,0.0005163769922695849,0.30823366596450796,0.00010309677682585061,5.064887476091684e-08,f54e9099832ec179c1d5c0fc7bf25a7e1886f9afa3e9bdc567a91bc8b1d266ad,6.700828067958355,0.42440884560346603,7.923013836145401
cosine,35,10000,900,0.0004106259029637016,0.0005154712830535146,0.30766397127899836,0.00010484538008981303,4.743562742604013e-08,e8ddd24fdd656a851d40ba7508a1b463cfa7b60f124e65cee829a1aa48da4047,7.521047458052635,0.46249546110630035,8.889127783477306
cosine,35,10000,1000,0.00040920227348628657,0.0005145599091651576,0.30712956319985096,0.00010535763567887102,4.89992295626962e-08,d83778a35b457042f4cdf13b61aca5912a1aa396e6580e4230b7807c80a4c93a,8.340725637972355,0.5004856362938881,9.853953786194324
cosine,35,10000,1100,0.0004077361333187923,0.0005142092098768813,0.3069353869323095,0.00010647307655808902,6.089809079234954e-08,fd500c9bed23d2539684a573ccbc5847cd3afe1c39341823d17eb944d5c603a4,9.162969939410686,0.5385969802737236,10.882594145834446
cosine,35,10000,1200,0.0004060963572047882,0.0005138923646637039,0.3067499342132578,0.00010779600745891571,4.819513654830132e-08,aef023631190472cd8fd76e80c7e4553cb004d335644ff5fd26c46d3a1885642,9.98490758985281,0.576804019510746,11.836891114711761
cosine,35,10000,1300,0.000405335531826978,0.0005136163227472679,0.30657226026869466,0.00010828079092028986,5.194680130493623e-08,a3347d9e0eb5d3e91a7d01a316c8820530e8e733d803b34c1325774b07d67e2b,10.805340267717838,0.6148980334401131,12.804165959358215
cosine,35,10000,1400,0.00040401676390011687,0.00051270282147442,0.3060356490777849,0.00010868605757430316,5.773241884554636e-08,62d6315abcda9bea31dcbc84738d3b1bd61d88de7687f23b149818c6e37a6c5f,11.626813136041164,0.6529278084635735,13.77258874475956
cosine,35,10000,1500,0.0004025978246318118,0.0005122874499328134,0.3057871158544003,0.00010968962530100157,6.776536087826912e-08,1c5184c52798783a4ca36a6fba464d6969edce98a2f465d1c0a6f458d70d6549,12.448340639472008,0.6911462172865868,14.740574829280376
cosine,35,10000,1600,0.0004022642477519156,0.0005123531684549931,0.3058472065231399,0.00011008892070307752,5.569673477978654e-08,d76e1ed51ce60b1dea257d2c40f0dde5968dd27b0cb2b313988cb07d9eb90e39,13.27062662690878,0.7293770387768745,15.71003794670105
cosine,35,10000,1700,0.00040115511602678566,0.0005117237073424263,0.3054761604048508,0.00011056859131564067,5.0570249654491306e-08,6da581698b83a5108bef7365a3e51d45ecd39992041179f520e7084e9c3e6dfa,14.092886075377464,0.7675351500511169,16.679961778223515
cosine,35,10000,1800,0.00040036776142571284,0.0005115848492405206,0.30541183695413565,0.00011121708781480777,5.300133665286921e-08,4e12498a2ebef01052e890de514d1388729d3387e489b4697e4a79a809663259,14.914593756198883,0.8057926669716835,17.64908478409052
cosine,35,10000,1900,0.00039956923253825494,0.0005111945474709501,0.30515001523690444,0.00011162531493269512,5.382220824579065e-08,954f900893ed8afbc1b6deda69a54a6dbbea08a608520178b8525156f2183216,15.735465541481972,0.8439338505268097,18.61755719780922
cosine,35,10000,2000,0.00039887153321060964,0.0005110304130742094,0.3050525961866697,0.00011215887986359974,5.352294329963314e-08,b2f5159aa1045c26f58db9c0d893d2d15803235ba406bda45a6805560cd5a5b5,16.55716211348772,0.8821762949228287,19.586675688624382
cosine,35,10000,2100,0.0003982756971492307,0.0005105949309527347,0.3047867839545688,0.00011231923380350395,5.196694974340943e-08,d7027fcf948524e52b6291c71c7a5564e4ebaabc478cf9bc63abef3591cf52bd,17.379791416227818,0.920617088675499,20.622197225689888
cosine,35,10000,2200,0.00039773339464588275,0.0005106572805608778,0.304820479960199,0.00011292388591499503,5.6590148567181586e-08,1eeddd99bcab6d261b3a73851963fdd2917501b274a8f1122608754c12d8d61c,18.203350961208344,0.9587532132863998,21.579639472067356
cosine,35,10000,2300,0.0003973846939206993,0.0005102039989921536,0.30453280177789566,0.00011281930507145432,4.882579140996768e-08,b71e83e0f5edb09d4cf5f7786ce80de487a8f472596a3c2cf7701400f7ae4db1,19.02533646672964,0.9969189316034317,22.54939679801464
cosine,35,10000,2400,0.00039648609732623186,0.000509881537267276,0.3043544727020162,0.00011339543994104417,5.8995978102771574e-08,e1b8b0762d8872afc1242f60ddcb2407f95c5dd471ec0cfc9a65bb30a73ba03d,19.848545715212822,1.0348470211029053,23.521290436387062
cosine,35,10000,2500,0.00039586100908195476,0.0005099959708836366,0.3044234247113309,0.00011413496180168181,5.7507050676974814e-08,a0bb5f7e1489a8cda94b0d06b92c358697a56c21b8b950638dfdca08e5609524,20.67077950388193,1.0730275362730026,24.491366170346737
cosine,35,10000,2600,0.00039563935485453783,0.0005093720506152977,0.3040246828090858,0.00011373269576075984,6.077840730700501e-08,a6faf810fdb1d74aeb58f4a38c242f74d9ea238a955ef563f2e0572ee58f758f,21.494398295879364,1.1117222383618355,25.464353121817112
cosine,35,10000,2700,0.00039495481577667135,0.0005094312002711376,0.30405387226892344,0.00011447638449446629,6.321612833204426e-08,bb3933307910d819505b4dc4638fc8d727dde557973dc6c4bcbc380bb747f45c,22.31830344349146,1.1499000042676926,26.440010108053684
cosine,35,10000,2800,0.0003941424902222934,0.0005091869225868351,0.3039394260122208,0.00011504443236454165,6.249433082139433e-08,9656854aa1afd567a80ee7ad8bfc849375e62bfa49ffe48d66f9f481bc558c2c,23.141746796667576,1.188285268843174,27.413710832595825
cosine,35,10000,2900,0.0003937476549396024,0.0005092338037240296,0.3039498228899902,0.0001154861487844272,6.205238656242784e-08,291803ead1606e12d926791db004e99faadf10d4e6d8acaa578ec2b831e952cd,23.964071452617645,1.2266703397035599,28.386387698352337
cosine,35,10000,3000,0.00039315376991844175,0.000508955156110602,0.3037830452876733,0.0001158013861921603,4.867823588661224e-08,c66428eb21c645af7a73f8e6b66b79ca7a5919332d6101464f9e89592e9f394e,24.787280336022377,1.2648313492536545,29.360281132161617
cosine,35,10000,3100,0.00039310436450712416,0.0005088076675097142,0.3037160290950851,0.00011570330300259002,5.116314805153621e-08,69143160a0ea6d76dd23fae4ead1fe3269e8edf96d373997d369887ca0df962b,25.609802789986134,1.3034567534923553,30.399331875145435
cosine,35,10000,3200,0.00039238082726456014,0.0005085841677612279,0.30358113806141773,0.0001162033404966678,5.484610210437779e-08,d4be233f5af266435da320e321ca70163bef9f7da715cd056a20da305d0f72ba,26.433640152215958,1.341824047267437,31.35915880650282
cosine,35,10000,3300,0.00039163793486451937,0.0005085416111736407,0.3035614680452454,0.00011690367630912135,5.948122272503298e-08,a6ad22d3d0338c287772f5652f18d6e4b41d6868a719737c79b7b368fb7357db,27.258077651262283,1.380001813173294,32.33481030911207
cosine,35,10000,3400,0.00039134241510652146,0.0005084303170566074,0.3035214388150962,0.00011708790195008589,5.0955702546318093e-08,a5b202355bcafc8c2bfc626e9789ed619b8b90a7b8b3ef71503773cea71804c8,28.08179159462452,1.4184432700276375,33.309378653764725
cosine,35,10000,3500,0.000390819741859616,0.000508226984955229,0.30338593436545125,0.00011740724309561301,6.734456503565411e-08,45fdf9040d043106aa9b583d7ad86b4e5113cc7a21ca39e596868a36854dbffa,28.9028664752841,1.4565765783190727,34.28053671866655
cosine,35,10000,3600,0.00039035754796756805,0.0005079705970558734,0.30320353401475586,0.00011761304908830539,5.625602528258611e-08,0a1d481a374b0cca8e16916ca62c02d5964620857a4537a3a9099f7fce6dece0,29.727291263639927,1.4948176816105843,35.25507805496454
cosine,35,10000,3700,0.00038981563157847177,0.000507803607710855,0.3031138572087002,0.00011798797613238321,5.6797603065206204e-08,5bc9d5a258908dbdf985e3557dfcfdb2b22842a48eea8a6671374e7de0ec22f8,30.549927413463593,1.5330524146556854,36.22855553030968
cosine,35,10000,3800,0.00038926615094148076,0.0005076913426567131,0.30306442390974553,0.00011842519171523236,6.985417799754146e-08,21530a463f6d3d62e67e399525056b5808e50b3fcc1f0b528ae19146bb587910,31.373541191220284,1.5713580623269081,37.20380721241236
cosine,35,10000,3900,0.000389247836535489,0.0005074996418699129,0.30294754568558346,0.00011825180533442392,6.758360737713076e-08,0ef44327f9b26f6b347263e7b13c8b31e975d45e4b1be52977d7d8440f3fbf40,32.19645744562149,1.6098147854208946,38.177969977259636
cosine,35,10000,4000,0.0003885070181031125,0.0005074687514827758,0.30293549586895097,0.00011896173337966331,5.292669746914669e-08,b18de77e38d763fccacae8ee4e11653b9843d685e41bd8dd4bb3980fb48ff118,33.021835803985596,1.6478066965937614,39.155550837516785
cosine,35,10000,4100,0.00038819375136789347,0.0005071960615818938,0.3027822586009279,0.00011900231021400032,6.211987357840343e-08,64f48b7ab765f9b4cd1660b03ec32bd469a0de388e461b8393333450ee7956cb,33.84400966018438,1.6859052628278732,40.19531264901161
cosine,35,10000,4200,0.00038793712117701773,0.0005072330709463557,0.3027790181563432,0.000119295949769338,5.8331384611420845e-08,2fa72ef172b87d0ae16194e61a5e72e830f146fdf4e22d7e4574fa814ec75c28,34.66717741638422,1.7240267246961594,41.16084335744381
cosine,35,10000,4300,0.0003871436277478324,0.0005070894513963253,0.30269586381473346,0.00011994582364849293,5.837940841857403e-08,f30b4870030e3063a2395a0abbfee6cb90027df3843415dc5523c0537139e693,35.4893354177475,1.7623428404331207,42.13376917690039
cosine,35,10000,4400,0.0003868251395875433,0.0005068404863877163,0.30252553152968176,0.000120015346800173,5.6035769580020656e-08,497d1d76526bf233bb061e407177f029fdc6e653461f0d160ab7dbeedd4c661a,36.31157057732344,1.8008514046669006,43.10727310925722
cosine,35,10000,4500,0.00038653240488883966,0.0005068807322423652,0.30257480402588044,0.00012034832735352552,6.820808218233054e-08,be69cc1e6e17f51bd645886442dd9a55178b2c9272ae792c3660981d2405b2b7,37.13617816567421,1.8392514511942863,44.08379101008177
cosine,35,10000,4600,0.0003859074730776513,0.0005065447873064954,0.30236768225313426,0.00012063731422884416,5.240333189604485e-08,95c6c624d7d8d456c7098a44ca72b7980129077f4b624b7ea9d07df25889d66e,37.959681920707226,1.87752366065979,45.05916239321232
cosine,35,10000,4700,0.0003859590940553659,0.0005065025200234885,0.3023382407277495,0.00012054342596812262,5.228493948905566e-08,bd7b87c1db86b437ea6dbcf989681596fea98da802474a35f522c71b59f84986,38.78403886407614,1.9156033098697662,46.03631053119898
cosine,35,10000,4800,0.0003854018134497039,0.0005066180770185724,0.30244259432538456,0.0001212162635688685,6.060669810459274e-08,edd62c9c7a46d3aeef79c9a75686dcf8dcbce84de1d15f6a9c9c1a15c3c25902,39.607021279633045,1.9537793323397636,47.01073607802391
