bit_width,seed,horizon_steps,step,calibration_mse,wikitext_validation_mse,original_scale_validation_mse,relative_improvement,generalization_gap,orthogonality_max_abs,rotation_tensor_sha256,terminal_optimizer_elapsed_seconds,terminal_evaluation_elapsed_seconds
2,17,100,100,0.0005114574098978864,0.000602733689945012,0.3598592720099987,0.3340965455984645,9.127628004712562e-05,5.386006440843971e-08,6c5db3a601adbb1b119a120751a6d15f033b1a73df6ae252b46f7e94f7c2bb2c,0.9519361779093742,0.48081737011671066
2,17,200,200,0.0004581408290196265,0.0005621919580995893,0.3356060849109781,0.37888727114385523,0.00010405112907996283,5.0741323809333494e-08,58f625c87711bce985abdfd7fda40df064c3dcbc8c7a848504c80779be18a0a4,1.6416373029351234,0.7885399013757706
2,17,300,300,0.00043494211611871947,0.0005443842903964935,0.32496049529618176,0.3985612791446491,0.00010944217427777403,4.861051006166406e-08,c2aa34774335b73bd398298ba40a87b480f134058a47db04c41f40efd86303a2,2.4649944454431534,1.1654621586203575
2,17,400,400,0.0004222771577246931,0.0005343620990760911,0.31895016216822114,0.4096338505509992,0.00011208494135139802,5.106443135005634e-08,00b831945ba47c9a5733e1cac84cf9f2e84bdd94e4937a2638caa5f0dd8d1fa5,3.293209783732891,1.543984368443489
2,17,500,500,0.0004139205208701924,0.0005282098038996708,0.31529170117300964,0.41643093967812267,0.00011428928302947838,5.1138826284713446e-08,3a8fd9bb1fdd1a1b8b3a27732dba758c98dcae877f66449feb365023010c9e1a,4.117482103407383,1.922687903046608
2,17,600,600,0.0004084770903478585,0.0005241828260444947,0.31287385276982604,0.4208799666850664,0.00011570573569663622,5.089410926029103e-08,af5c073794b4bc5b021cc74525c55ea0026199c375e3c1826de75f85b9ff23c3,4.942463397979736,2.2992992028594017
2,17,700,700,0.0004042825561789698,0.00052142186439319,0.3112585300241335,0.4239302921136013,0.00011713930821422025,6.219121084782842e-08,97efe2131dc783f492eaf65962d231051148dfee33395f66432d1fc783603ea9,5.7603190541267395,2.67134827375412
2,17,800,800,0.00040079507886048304,0.0005188127102453421,0.30966680312712924,0.42681289978777415,0.0001180176313848591,4.870811542989628e-08,f0d1e6f29b8f56cd63ceeaffd9455fe38bb1647ff32a799beea9723cf4b2c049,6.581181243062019,3.0436048060655594
2,17,900,900,0.00039809035764726275,0.0005170649888111001,0.3086538890238444,0.42874379192108025,0.00011897463116383733,5.096095345713536e-08,d90ae39bd9980e2739c4f11f92849a3587cb83b0388820c7c307bf061ffba63a,7.408754549920559,3.4279335290193558
2,17,1000,1000,0.00039584253923230506,0.0005158249731334053,0.30792604918724464,0.4301137679769473,0.0001199824339011002,6.988602962998414e-08,ddbfc480c10130198f8ddd0268b8489561798eec5dc056fd45a1745c44ad434e,8.24072277545929,3.803299941122532
2,29,100,100,0.0005114712017544321,0.0006029919061241173,0.3600442671295241,0.3316507845798901,9.152070436968529e-05,4.845205747727732e-08,2575ade45697ccb4abf8148aee1b55e59d6901cd12510dbe183f99547a62710d,0.8241045698523521,0.41410721093416214
2,29,200,200,0.000458088465196127,0.00056180711528242,0.3353237114097283,0.37729952773337444,0.000103718650086293,4.391518326762878e-08,95ac6d942f66635c231a2b4057e48fede7c2a52666bc26b6e2b830a65a506b9b,1.6471661403775215,0.7903686836361885
2,29,300,300,0.00043491426832709124,0.0005437847243303651,0.32453166692994273,0.397275336248325,0.00010887045600327383,5.3905533148324025e-08,1ee3cc7b99d06c63ab0cffb93c2b0ce7088299b4acb429d1218302e1fa394cfd,2.4745244681835175,1.1688007563352585
2,29,400,400,0.00042211846641038164,0.0005336638364017432,0.3184415588157208,0.40849321071355366,0.00011154536999136155,5.001334968390836e-08,aa5d052981c765406623fbe651487d4db519bf8f54d0faa663e2f89eba6eba0d,3.291863426566124,1.5405233725905418
2,29,500,500,0.0004136968074419656,0.0005275233247310496,0.3148252802911884,0.4152992824297822,0.000113826517289084,5.3813674849578774e-08,0644b42d9946dc8dc1497ebbdc6aa7d1ede1933e7fd38247074aace15a7abf3c,4.1145482286810875,1.9180636405944824
2,29,600,600,0.00040837024298312485,0.0005239584272196396,0.31273180884272733,0.41925057336852584,0.00011558818423651473,5.5604101323325494e-08,6bf24d69f7690ebb6c8d55fb26c66799e71d18e10817cff322201b8be8ab54a5,4.944089829921722,2.294560395181179
2,29,700,700,0.000404011652520353,0.0005208302263959297,0.3108418131541839,0.4227178347777904,0.0001168185738755767,6.289583287522049e-08,51082ce1bca922c16f2761c1ddf7983572ea86448ab03c40e8c07bd7218fcfcc,5.763389654457569,2.668183781206608
2,29,800,800,0.00040098406585542534,0.0005189238881264657,0.3096988215093006,0.42483079794326833,0.00011793982227104038,5.3471090888379535e-08,f408bc46e643f19e2ee2223af4064ea30405d255d4302c795f71889c7b2ca61a,6.587321519851685,3.048897311091423
2,29,900,900,0.00039825963640538475,0.0005172387704277526,0.30875737250516977,0.42669856280111645,0.00011897913402236782,5.2937507266648254e-08,fb481f1d4e56a023fa373f5b468db301d9843d7d63ebc8d8748ff3189337ae68,7.407061874866486,3.420425921678543
2,29,1000,1000,0.0003959504546759973,0.0005154370211606363,0.3076322847277879,0.42869560073285456,0.00011948656648463896,6.034930311038522e-08,d6a04852c947d5867937c10e969cd081bac344bb6158c0723d4dc7d8cbb30cfc,8.23431158810854,3.7932233810424805
