bit_width,seed,condition,layer,head,wikitext_validation_normalized_key_mse,relative_change_vs_random
2,17,random_initialization,12,2,0.0009133405037573539,0.0
2,17,random_initialization,12,3,0.0009202254514093511,0.0
2,17,random_initialization,12,4,0.0008716881020518485,0.0
2,17,random_initialization,12,5,0.0009585441039234865,0.0
2,17,random_initialization,12,6,0.0009795455225685146,0.0
2,17,random_initialization,12,7,0.0008507929596817121,0.0
2,17,random_initialization,13,0,0.0009164386174234096,0.0
2,17,random_initialization,13,1,0.0008833567189867608,0.0
2,17,random_initialization,13,2,0.000868231069034664,0.0
2,17,random_initialization,13,3,0.0009151692829618696,0.0
2,17,random_initialization,13,4,0.0009248721980839036,0.0
2,17,random_initialization,13,5,0.0009305360908911098,0.0
2,17,random_initialization,13,6,0.0009219267885782756,0.0
2,17,random_initialization,13,7,0.0008384849134017713,0.0
2,17,random_initialization,14,0,0.0010016631713369861,0.0
2,17,random_initialization,14,1,0.0009069035695574712,0.0
2,17,random_initialization,14,2,0.0009320276803919114,0.0
2,17,random_initialization,14,3,0.0008884996022970881,0.0
2,17,random_initialization,14,4,0.0008943447937781457,0.0
2,17,random_initialization,14,5,0.0008533936015737709,0.0
2,17,random_initialization,14,6,0.0008432698959950358,0.0
2,17,random_initialization,14,7,0.0009177851607091725,0.0
2,17,random_initialization,15,0,0.0009224026325682644,0.0
2,17,random_initialization,15,1,0.0009854213494691066,0.0
2,17,random_initialization,15,2,0.0009025870931509417,0.0
2,17,random_initialization,15,3,0.0008128459667204879,0.0
2,17,random_initialization,15,4,0.0009180229062621947,0.0
2,17,random_initialization,15,5,0.0009435215397388674,0.0
2,17,random_initialization,15,6,0.0008780089337960817,0.0
2,17,random_initialization,15,7,0.0008446097126579843,0.0
2,17,random_initialization,16,0,0.0008542204304831102,0.0
2,17,random_initialization,16,1,0.0008904259375412948,0.0
2,17,random_initialization,16,2,0.0008441911777481437,0.0
2,17,random_initialization,16,3,0.0008974133161245845,0.0
2,17,random_initialization,16,4,0.000939194349484751,0.0
2,17,random_initialization,16,5,0.0008751321511226706,0.0
2,17,random_initialization,16,6,0.0009578949538990855,0.0
2,17,random_initialization,16,7,0.0008150609792210162,0.0
2,17,random_initialization,17,0,0.0008712528979231138,0.0
2,17,random_initialization,17,1,0.0009130680264206603,0.0
2,17,random_initialization,17,2,0.0010115007244166918,0.0
2,17,random_initialization,17,3,0.0008134218296618201,0.0
2,17,random_initialization,17,4,0.0008877170039340854,0.0
2,17,random_initialization,17,5,0.000866153794049751,0.0
2,17,random_initialization,17,6,0.0008844600888551213,0.0
